length,leapCount,cfCount,avgfs,varfs,stdevfs,avgfs1,varfs1,stdevfs1,avgfs3,varfs3,stdevfs3,avgfs5,varfs5,stdevfs5,avgfsTie,varfsTie,stdevfsTie,avgfsNoTie,varfsNoTie,stdevfsNoTie
14,N/A,1000,22480.863,139087846.13023093,11793.551039878996,5476.493,13689546.237950992,3699.9386802960657,8183.599,18609894.612199016,4313.918707184805,8820.771,22576738.848559026,4751.49858976713,19664.559,104218385.19851893,10208.740627448566,2816.304,8542970.23358399,2922.835991564356
14,0,155,32021.664516129033,146166657.04874083,12089.940324449117,7383.4258064516125,12760821.534817899,3572.229210845505,11745.406451612904,20895722.202539027,4571.183895069091,12892.832258064516,24286960.397669107,4928.180231857304,27913.47741935484,107221629.3720708,10354.787751184029,4108.187096774193,18255024.8101561,4272.589941728096
14,1,369,25750.20867208672,125074012.10550752,11183.649319676808,6421.983739837398,16037700.986185456,4004.70985043679,9342.09214092141,15643664.441374537,3955.2072564373334,9986.132791327913,19542777.833314974,4420.72141548356,22673.444444444445,96675476.51249631,9832.36881491415,3076.7642276422766,8454511.231674267,2907.6642226492154
14,2,321,18818.719626168226,80751026.20799486,8986.157477364553,4508.816199376947,9252640.878989913,3041.815391997008,6933.576323987539,11123096.848536026,3335.1307093629816,7376.327102803738,13016672.506710922,3607.8625953202436,16397.17445482866,56421621.022525005,7511.432687745062,2421.5451713395637,5058002.036121546,2249.0002303515994
14,3,130,13394.107692307693,49858303.557633154,7061.041251659217,3501.976923076923,6351255.68408284,2520.16977286905,4636.930769230769,6323027.756745561,2514.5631343725618,5255.2,9280032.00615385,3046.3144956083984,11592.753846153846,33383609.308639057,5777.855078542474,1801.3538461538462,3071592.8901775144,1752.5960430679725
14,4,22,10124.954545454546,16212036.861570252,4026.417372996775,2592.7727272727275,2313514.6301652896,1521.0242043324918,3714.318181818182,2165256.3987603304,1471.4810222222814,3817.8636363636365,3674693.299586777,1916.9489559158264,8654.954545454546,10733507.407024793,3276.2031998984426,1470.0,1886246.3636363635,1373.4068456347388
14,5,3,3628.6666666666665,1058942.8888888888,1029.0495075014073,907.3333333333334,180884.22222222222,425.3048579809808,1878.3333333333333,407430.88888888893,638.3031324448352,843.0,14872.666666666666,121.95354306729537,3503.0,1205376.0,1097.8961699541537,125.66666666666667,16126.888888888885,126.99168826694479
