length,leapCount,cfCount,avgfs,varfs,stdevfs,avgfs1,varfs1,stdevfs1,avgfs3,varfs3,stdevfs3,avgfs5,varfs5,stdevfs5,avgfsTie,varfsTie,stdevfsTie,avgfsNoTie,varfsNoTie,stdevfsNoTie
15,N/A,1000,47616.252,694159850.1364961,26346.913484059118,11410.273,62210525.524470985,7887.3649290793555,17333.606,100034717.02276403,10001.73570050539,18872.373,112417879.83187105,10602.729829240725,42203.512,524107037.80985624,22893.384149353198,5412.74,36715224.798400015,6059.308937362413
15,0,128,72417.8984375,1015914328.7787476,31873.411000060027,16348.546875,81310076.48217773,9017.210016528268,27017.4921875,151025442.90618896,12289.240941009699,29051.859375,170212164.5427246,13046.538412265707,64820.046875,705476441.4040527,26560.80649009086,7597.8515625,77171922.26702881,8784.755105694683
15,1,334,55203.82335329341,580690537.5825683,24097.521399151577,13266.68263473054,66771884.52203384,8171.406520424366,20002.404191616766,81346106.4024973,9019.20763717619,21934.736526946108,87014114.81680948,9328.135656003802,48887.71856287425,438472721.72318846,20939.740249658982,6316.104790419162,41712071.08782135,6458.488297413052
15,2,356,41066.7191011236,410277403.7469385,20255.305570317585,9913.297752808989,45790970.0911186,6766.902547777572,14988.938202247191,60594330.54674283,7784.236028457952,16164.483146067416,65052408.878929414,8065.507354093072,36390.120786516854,307548142.10057926,17537.050553059922,4676.598314606742,24245089.45943535,4923.9302858017145
15,3,132,32019.628787878788,269721435.4606864,16423.198088700214,8222.431818181818,31368562.851411864,5600.764488122301,11355.962121212122,33671678.7485652,5802.7302839753975,12441.234848484848,52904081.179694645,7273.519174353955,27950.18181818182,188495854.0730028,13729.379231159826,4069.4469696969695,17038976.868399918,4127.829559029771
15,4,44,21159.386363636364,174175041.05526862,13197.539204536148,5404.681818181818,17076684.03512397,4132.394467512022,7199.659090909091,28112250.81559917,5302.098718017156,8555.045454545454,35272806.04338843,5939.091348294655,18650.727272727272,128230460.24380164,11323.888918732895,2508.659090909091,5738956.770144629,2395.6119823845906
15,5,6,21888.0,121874318.0,11039.670194349104,5714.333333333333,19012016.222222224,4360.277080900046,7121.666666666667,13352063.222222222,3654.0475123104547,9052.0,24319769.0,4931.50778160189,18851.5,70271884.58333333,8382.832730248965,3036.5,8780221.583333334,2963.1438681463533
