length,leapCount,cfCount,avgfs,varfs,stdevfs,avgfs1,varfs1,stdevfs1,avgfs3,varfs3,stdevfs3,avgfs5,varfs5,stdevfs5,avgfsTie,varfsTie,stdevfsTie,avgfsNoTie,varfsNoTie,stdevfsNoTie
16,N/A,1000,104986.647,3663207400.354392,60524.436390225,24802.953,303863977.03679144,17431.694611735013,38569.573,521098545.80667186,22827.58300404736,41614.121,604765147.4683597,24591.973232507386,95243.661,2936515397.410081,54189.624444261295,9742.986,117339187.42180416,10832.321423490173
16,0,127,163410.87401574804,5201068643.684915,72118.43483940091,36713.55905511811,427601119.2858827,20678.518304895126,61366.220472440946,771554772.549817,27776.87478010831,65331.09448818897,814107851.1879225,28532.575263861523,150072.3937007874,4091495493.435553,63964.79886183926,13338.48031496063,208410777.5409511,14436.43922651812
16,1,316,126189.94303797468,3155566366.382828,56174.428046779685,29796.83227848101,318354749.759844,17842.498416977483,46333.70886075949,450034678.0354909,21214.02078898507,50059.40189873418,510765455.9049335,22600.12070553902,114525.52848101266,2460758142.432731,49606.029295164626,11664.414556962025,152343979.31864884,12342.770325929623
16,2,324,94180.67592592593,2060955547.453619,45397.74826413331,22843.583333333332,224473539.97145087,14982.44105516357,34155.97839506173,282090859.0828665,16795.56069569773,37181.114197530864,360482507.6320204,18986.37689586985,85033.37962962964,1607483617.7540293,40093.43609313162,9147.296296296296,76198365.239369,8729.167499788797
16,3,164,67127.46951219512,1051848859.1637049,32432.219460957414,16257.420731707318,111287783.93883847,10549.302533288088,24285.146341463416,142010585.3078524,11916.819429187151,26584.90243902439,199027354.29535976,14107.705493642818,60175.01219512195,765644599.707169,27670.28369401313,6952.457317073171,60343145.004275754,7768.085028131178
16,4,56,42023.607142857145,465617990.3813775,21578.183203907076,9656.57142857143,33045195.994897958,5748.4951069734725,16270.232142857143,77902179.39253826,8826.221127557266,16096.80357142857,102886293.65784438,10143.288108786242,38426.03571428572,360585406.85586727,18989.086519784654,3597.5714285714284,21158707.602040816,4599.859519815884
16,5,12,39429.833333333336,637078065.6388888,25240.405417482678,9506.0,70162311.16666667,8376.294596458907,14178.666666666666,70661536.55555558,8406.041669867904,15745.166666666666,105900130.97222222,10290.778929324166,34629.666666666664,450029610.0555556,21213.901339818556,4800.166666666667,21532254.972222224,4640.286087325028
16,6,1,7520.0,0.0,0.0,2154.0,0.0,0.0,4033.0,0.0,0.0,1333.0,0.0,0.0,7469.0,0.0,0.0,51.0,0.0,0.0
