length,leapCount,cfCount,avgfs,varfs,stdevfs,avgfs1,varfs1,stdevfs1,avgfs3,varfs3,stdevfs3,avgfs5,varfs5,stdevfs5,avgfsTie,varfsTie,stdevfsTie,avgfsNoTie,varfsNoTie,stdevfsNoTie
13,N/A,1000,9984.039,24633518.593479007,4963.216557181341,2432.226,2246780.618924003,1498.9264888325922,3669.679,3587102.8719589976,1893.9648549957303,3882.134,3919862.592044001,1979.8642862691374,8532.32,17896553.35759998,4230.431816918928,1451.719,1775320.5440390012,1332.4115520510175
13,0,168,14902.72619047619,30797403.210742634,5549.540810800713,3448.7678571428573,2981286.880633501,1726.640344899163,5561.934523809524,4555227.787379538,2134.2979612461654,5892.023809523809,4677901.082766441,2162.845598457375,12721.595238095239,22728595.324263036,4767.451659352514,2181.1309523809523,3575340.768565758,1890.8571518138958
13,1,389,10852.899742930591,16825580.55807192,4101.8996279860285,2676.3393316195375,2095328.0442370842,1447.5247991786132,3954.8740359897174,2353616.577963405,1534.1501158502726,4221.6863753213365,2619840.251253956,1618.5920583191912,9290.830334190232,12693236.629311219,3562.7568860801066,1562.06940874036,1584016.6301438662,1258.577224545187
13,2,318,7876.25786163522,12642890.637909893,3555.684271404014,1930.506289308176,1357347.6084510102,1165.0526204644193,2907.7955974842766,1878071.4519303024,1370.4274705106807,3037.9559748427673,2081845.3691309686,1442.8601349857056,6724.528301886792,8584354.66429334,2929.9069378212916,1151.7295597484276,964636.6564218194,982.1591807959743
13,3,106,6333.735849056604,9436341.91135635,3071.8629382438844,1660.0094339622642,1083762.5753826986,1041.0391805223753,2316.9622641509436,1725475.1683873262,1313.5734347143773,2356.764150943396,1454989.444375222,1206.2294327263044,5403.037735849057,6064590.508009968,2462.6389317173494,930.6981132075472,750175.6258454968,866.126795478293
13,4,18,4502.555555555556,5446595.246913581,2333.794174067966,1200.0,683296.7777777778,826.617673279357,1443.611111111111,865202.4598765434,930.162598622705,1858.9444444444443,998104.7191358022,999.051910130701,3802.3888888888887,3593744.7932098764,1895.7174877100956,700.1666666666666,488850.80555555556,699.1786649745225
13,5,1,1531.0,0.0,0.0,275.0,0.0,0.0,566.0,0.0,0.0,690.0,0.0,0.0,1394.0,0.0,0.0,137.0,0.0,0.0
